bug_id,summary,component_name,owner,reporter,type_id,status_id,priority_id,created,life_days
134951050,[Data Mart] New Tables - PezCloudSQL for Txn Details,HCM Data Mart,,sameerpatel,FEATURE_REQUEST,NEW,P3,2019-06-10,4
137557302,[HCM Report] Negative HC report scripts needs DEFINE TABLE to keep table owner current,HCM Dashboards,hkondreddy,alvinying,BUG,ASSIGNED,P2,2019-07-15,0
143554676,"Loans - Column name change in loans ""loan_repayed_hc""",HCM Data Mart,ganeshprabhu,zeljebbari,BUG,FIXED,P2,2019-10-29,23
146158613,[Data Mart] Issue summary - Enable loan dimensions and facts to be populated in BQ and Plx,HCM Data Mart,pmallireddy,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-12-12,1
141543161,Loans dev - landing tables,HCM Data Mart,hongyil,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-09-24,35
136092227,[Data Mart]  Google HC Tool - One Time historical Team Allocation data feed,HCM Data Mart,sameerpatel,sameerpatel,FEATURE_REQUEST,FIXED,P2,2019-06-26,27
141542661,Loans dev - create facts in consumption layer,HCM Data Mart,pmallireddy,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-09-24,80
146010642,[HCM Loans Report] LoansGiverHeadcountHistory view - loan owner security filter,HCM Dashboards,mstockwell,mstockwell,BUG,FIXED,P2,2019-12-10,9
117600193,[HCM Report] Add display for user's access,HCM Dashboards,epahal,alvinying,FEATURE_REQUEST,FIXED,P2,2018-10-11,33
140745556,Update Retry and Duration in 'PezCloudSQLtoBQ - Landing' Clarinet Pipeline.,HCM Data Mart,ganeshprabhu,ganeshprabhu,BUG,FIXED,P2,2019-09-09,3
141542627,Loans dev - create dimensions in consumption layer + Plx tables/views,HCM Data Mart,aghorai,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-09-24,79
119569167,[HCM Report] 'Exclude' filter doesn't work as expected,HCM Dashboards,epahal,apisarchyk,BUG,WILL_NOT_FIX,P3,2018-11-14,0
147613552,Export manager_hierarchy_history from BQ to Plx,HCM Data Mart,orazs,orazs,FEATURE_REQUEST,ASSIGNED,P2,2020-01-13,4
137846260,[Data Mart] Consistent handling of Boolean values,HCM Data Mart,zeljebbari,mstockwell,INTERNAL_CLEANUP,VERIFIED,P2,2019-07-18,141
132775225,Ctrl End Date should be set to Dec 31st 9999 and start time should be 12AM,HCM Data Mart,hongyil,sameerpatel,INTERNAL_CLEANUP,ACCEPTED,P3,2019-05-15,195
144419692,headcount_transaction_impact view definition is out of date,HCM Data Mart,hongyil,orazs,BUG,FIXED,P1,2019-11-13,0
147735970,[Data Mart] Impact of Management and Job Code changes,HCM Data Mart,,nidhishk,PROCESS,NEW,P2,2020-01-15,8
132091359,HCM Reporting Data Mart Launch,HCM Data Mart,sunilsaxena,sunilsaxena,PROCESS,FIXED,P1,2019-05-06,28
